accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,template,model,n_test
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021619610514470133,DEVELOPER_ACCESS_NOTE,LR-All,78
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002710391904603513,DEVELOPER_ACCESS_NOTE,FusionNN,78
0.6944444444444444,0.8181818181818182,0.5,0.6206896551724138,0.42211588240886905,0.8016975308641976,0.7916565691462125,0.22008237902351843,IT_SUPPORT_AUDIT,LR-TFIDF,72
0.9166666666666666,0.96875,0.8611111111111112,0.9117647058823529,0.8385254915624211,0.9768518518518519,0.9803046278230103,0.06696095359129349,IT_SUPPORT_AUDIT,LR-SBERT,72
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011453155688849585,IT_SUPPORT_AUDIT,LR-Structural,72
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012608663531602168,IT_SUPPORT_AUDIT,LR-SBERT+Structural,72
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012620423548700297,IT_SUPPORT_AUDIT,LR-All,72
0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,0.9725975251592747,1.0,1.0,0.012826945795499863,IT_SUPPORT_AUDIT,FusionNN,72
0.618421052631579,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.27348170645824377,0.7693905817174516,0.7670442946103119,0.22392417033338832,PRIORITY_INSTRUCTION,LR-TFIDF,76
0.8947368421052632,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.7938841860374447,0.9764542936288088,0.9767090405159207,0.07237917909569153,PRIORITY_INSTRUCTION,LR-SBERT,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,5.802671477677625e-05,PRIORITY_INSTRUCTION,LR-Structural,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0005438008116720226,PRIORITY_INSTRUCTION,LR-SBERT+Structural,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.00054677465104494,PRIORITY_INSTRUCTION,LR-All,76
0.9868421052631579,0.9743589743589743,1.0,0.987012987012987,0.9740215340114143,0.9993074792243768,0.9993252361673413,0.008139912855876305,PRIORITY_INSTRUCTION,FusionNN,76
0.6875,0.7419354838709677,0.575,0.647887323943662,0.38486850434308906,0.8356250000000001,0.857146317923798,0.20778648352090184,SECURITY_ADVISORY,LR-TFIDF,80
0.925,0.925,0.925,0.925,0.85,0.9812500000000001,0.9797557312115464,0.05001409807960446,SECURITY_ADVISORY,LR-SBERT,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00028402971776690585,SECURITY_ADVISORY,LR-Structural,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004334795214938684,SECURITY_ADVISORY,LR-SBERT+Structural,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004340301737658089,SECURITY_ADVISORY,LR-All,80
0.9875,0.975609756097561,1.0,0.9876543209876543,0.9753048303966929,1.0,1.0,0.004161945507793545,SECURITY_ADVISORY,FusionNN,80
0.7625,0.8387096774193549,0.65,0.7323943661971831,0.5388159060803247,0.83875,0.8480639947552382,0.20814375250654965,SECURITY_VERIFICATION_NOTICE,LR-TFIDF,80
0.9625,0.9743589743589743,0.95,0.9620253164556962,0.9252891980686574,0.9962500000000001,0.9963952761173408,0.030536291901943412,SECURITY_VERIFICATION_NOTICE,LR-SBERT,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4984286900352273e-05,SECURITY_VERIFICATION_NOTICE,LR-Structural,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001680706875774688,SECURITY_VERIFICATION_NOTICE,LR-SBERT+Structural,80
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00016805895316116302,SECURITY_VERIFICATION_NOTICE,LR-All,80
0.9875,1.0,0.975,0.9873417721518988,0.9753048303966929,1.0,1.0,0.00503915937611169,SECURITY_VERIFICATION_NOTICE,FusionNN,80
0.6842105263157895,0.7916666666666666,0.5,0.6129032258064516,0.39629696195060854,0.7742382271468145,0.7794912452266844,0.21881137485580504,SYSTEM_DIRECTIVE_OVERRIDE,LR-TFIDF,76
0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.9882271468144044,0.9918660287081339,0.02408162953859777,SYSTEM_DIRECTIVE_OVERRIDE,LR-SBERT,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0001416215736456489,SYSTEM_DIRECTIVE_OVERRIDE,LR-Structural,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0004954473693522667,SYSTEM_DIRECTIVE_OVERRIDE,LR-SBERT+Structural,76
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0004982399653858051,SYSTEM_DIRECTIVE_OVERRIDE,LR-All,76
0.9868421052631579,1.0,0.9736842105263158,0.9866666666666667,0.9740215340114143,1.0,0.9999999999999999,0.0039898447456380515,SYSTEM_DIRECTIVE_OVERRIDE,FusionNN,76
0.6216216216216216,0.6956521739130435,0.43243243243243246,0.5333333333333333,0.26278072311320266,0.6851716581446312,0.6760775424901948,0.2324362491571366,SYSTEM_UPDATE,LR-TFIDF,74
0.918918918918919,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.8427772341319071,0.9758948137326516,0.9790667527378489,0.06910455906439207,SYSTEM_UPDATE,LR-SBERT,74
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010522418440607835,SYSTEM_UPDATE,LR-Structural,74
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002353762456718122,SYSTEM_UPDATE,LR-SBERT+Structural,74
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0023467388139883543,SYSTEM_UPDATE,LR-All,74
0.9864864864864865,1.0,0.972972972972973,0.9863013698630136,0.9733285267845752,0.9985390796201608,0.9986139986139986,0.0156895823860499,SYSTEM_UPDATE,FusionNN,74
0.5681818181818182,0.6071428571428571,0.38636363636363635,0.4722222222222222,0.14638501094227996,0.7004132231404958,0.6898925525993989,0.2280751497641936,URGENT_ACTION_REQUIRED,LR-TFIDF,88
0.9659090909090909,1.0,0.9318181818181818,0.9647058823529412,0.933991662453105,0.9948347107438016,0.9956241228754094,0.026932554506147913,URGENT_ACTION_REQUIRED,LR-SBERT,88
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.782044421612087e-05,URGENT_ACTION_REQUIRED,LR-Structural,88
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00017397933577465355,URGENT_ACTION_REQUIRED,LR-SBERT+Structural,88
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00017430797335001543,URGENT_ACTION_REQUIRED,LR-All,88
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002247740045618197,URGENT_ACTION_REQUIRED,FusionNN,88
