config,seed,fold,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier
-SBERT (Struct+TFIDF),52,2,0.9875776397515528,1.0,0.9761904761904762,0.9879518072289156,0.9754367192437167,0.9996907854050712,0.999718220621582,0.009906286735485886
-Struct (SBERT+TFIDF),52,2,0.9192546583850931,0.9863013698630136,0.8571428571428571,0.9171974522292994,0.8470418554605621,0.9874768089053804,0.9894079021417983,0.06757802673149825
Full (SBERT+Struct+TFIDF),52,3,0.9937106918238994,1.0,0.9879518072289156,0.9939393939393939,0.9874822855514376,0.9998414711477488,0.9998565691336778,0.006128467377193187
-TFIDF (SBERT+Struct),52,3,0.9874213836477987,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9747939124920736,0.9993658845909956,0.9994244249820845,0.01270758512143982
-SBERT (Struct+TFIDF),52,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0498644234455813e-05
-Struct (SBERT+TFIDF),52,3,0.949685534591195,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8991756499682942,0.977013316423589,0.9763214313484058,0.046123083624211796
Full (SBERT+Struct+TFIDF),52,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007187737077399246
-TFIDF (SBERT+Struct),52,4,0.99375,0.9866666666666667,1.0,0.9932885906040269,0.9875190116902116,1.0,1.0,0.004086878301024642
-SBERT (Struct+TFIDF),52,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.032261136294648e-06
-Struct (SBERT+TFIDF),52,4,0.93125,0.9565217391304348,0.8918918918918919,0.9230769230769231,0.8627894114268443,0.9879006913890634,0.9864493581823767,0.05579147201392071
Full (SBERT+Struct+TFIDF),62,0,0.9937106918238994,0.9878048780487805,1.0,0.9938650306748467,0.9874921331056723,0.9996834441278886,0.9996970271485983,0.0058967835158572944
-TFIDF (SBERT+Struct),62,0,0.9937106918238994,0.9878048780487805,1.0,0.9938650306748467,0.9874921331056723,0.9998417220639443,0.9998494429388742,0.006175144828890332
-SBERT (Struct+TFIDF),62,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.0008451889442513222
-Struct (SBERT+TFIDF),62,0,0.9622641509433962,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9245014245014245,0.9906616017727129,0.990656146536831,0.0373466893860833
Full (SBERT+Struct+TFIDF),62,1,0.9937106918238994,0.9836065573770492,1.0,0.9917355371900827,0.9867477578416703,1.0,1.0,0.0033604651506067523
-TFIDF (SBERT+Struct),62,1,0.9937106918238994,0.9836065573770492,1.0,0.9917355371900827,0.9867477578416703,0.9998316498316498,0.9997267759562843,0.007963828345576728
-SBERT (Struct+TFIDF),62,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00015065059315175384
-Struct (SBERT+TFIDF),62,1,0.9622641509433962,0.921875,0.9833333333333333,0.9516129032258065,0.9220259368097625,0.9942760942760943,0.9898505539587045,0.02830618109624802
Full (SBERT+Struct+TFIDF),62,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006934127490745332
-TFIDF (SBERT+Struct),62,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1170005813722186e-05
-SBERT (Struct+TFIDF),62,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016522569601330485
-Struct (SBERT+TFIDF),62,2,0.9565217391304348,0.9871794871794872,0.927710843373494,0.9565217391304348,0.9148903305529812,0.9933580475749151,0.9941714283971951,0.03778048743254198
Full (SBERT+Struct+TFIDF),62,3,0.99375,1.0,0.9886363636363636,0.9942857142857143,0.9874681765763056,1.0,1.0,0.006143591933242232
-TFIDF (SBERT+Struct),62,3,0.99375,1.0,0.9886363636363636,0.9942857142857143,0.9874681765763056,1.0,0.9999999999999999,0.007831342583801481
-SBERT (Struct+TFIDF),62,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,3.773351210464654e-05
-Struct (SBERT+TFIDF),62,3,0.96875,0.9882352941176471,0.9545454545454546,0.9710982658959537,0.9377748491279565,0.9932133838383839,0.9952342242651231,0.026735640018121436
Full (SBERT+Struct+TFIDF),62,4,0.9876543209876543,0.9764705882352941,1.0,0.9880952380952381,0.975576657085229,0.9998474912307458,0.9998565691336777,0.008925877311010359
-TFIDF (SBERT+Struct),62,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0023168336499818616
-SBERT (Struct+TFIDF),62,4,0.9938271604938271,1.0,0.9879518072289156,0.9939393939393939,0.9877258777811555,0.9995424736922374,0.9995797142056599,0.006241336053968787
-Struct (SBERT+TFIDF),62,4,0.9444444444444444,0.9404761904761905,0.9518072289156626,0.9461077844311377,0.8888550497796832,0.9884093335366784,0.9897929486274046,0.05014031886853213
Full (SBERT+Struct+TFIDF),72,0,0.9875,0.989010989010989,0.989010989010989,0.989010989010989,0.9745182353878006,0.9996814779423475,0.999763677183032,0.01004450938100512
-TFIDF (SBERT+Struct),72,0,0.99375,0.9891304347826086,1.0,0.994535519125683,0.9873171785652811,1.0,1.0,0.005240057897735042
-SBERT (Struct+TFIDF),72,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,0.00042144365397037327
-Struct (SBERT+TFIDF),72,0,0.96875,0.9574468085106383,0.989010989010989,0.972972972972973,0.936650727815727,0.9937888198757764,0.9954683168276167,0.02967736357344697
Full (SBERT+Struct+TFIDF),72,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.980788034290776e-05
-TFIDF (SBERT+Struct),72,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.497200471898539e-05
-SBERT (Struct+TFIDF),72,1,0.9937106918238994,1.0,0.9859154929577465,0.9929078014184397,0.9873387416635092,1.0,0.9999999999999998,0.003176984318572261
-Struct (SBERT+TFIDF),72,1,0.949685534591195,0.8987341772151899,1.0,0.9466666666666667,0.9038977100289762,0.9996798975672215,0.9996141230947326,0.044880685178707115
Full (SBERT+Struct+TFIDF),72,2,0.9938271604938271,0.9868421052631579,1.0,0.9933774834437086,0.9876735759141194,1.0,0.9999999999999999,0.005069142178160952
-TFIDF (SBERT+Struct),72,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011228667970410707
-SBERT (Struct+TFIDF),72,2,0.9753086419753086,1.0,0.9466666666666667,0.9726027397260274,0.9513437575634505,0.9995402298850575,0.9994666034455507,0.024353737248624094
-Struct (SBERT+TFIDF),72,2,0.9691358024691358,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.9380602055891311,0.9904980842911877,0.9873070909613603,0.025847322354930178
Full (SBERT+Struct+TFIDF),72,3,0.99375,1.0,0.9878048780487805,0.9938650306748467,0.9875732979546243,1.0,1.0,0.002813949190973112
-TFIDF (SBERT+Struct),72,3,0.98125,0.9759036144578314,0.9878048780487805,0.9818181818181818,0.9625401533538979,0.9993746091307066,0.999415781593272,0.011846311595571164
-SBERT (Struct+TFIDF),72,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008028833620315198
-Struct (SBERT+TFIDF),72,3,0.95,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8999374609130707,0.991400875547217,0.9923201391614593,0.042484652596085616
Full (SBERT+Struct+TFIDF),72,4,0.99375,1.0,0.9868421052631579,0.9933774834437086,0.9875384540069388,1.0,1.0,0.007195212606293655
-TFIDF (SBERT+Struct),72,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006617537104936129
-SBERT (Struct+TFIDF),72,4,0.99375,0.987012987012987,1.0,0.9934640522875817,0.9875539643005286,1.0,1.0000000000000002,0.0020154732696649933
-Struct (SBERT+TFIDF),72,4,0.925,0.9705882352941176,0.868421052631579,0.9166666666666666,0.8532083053449178,0.9721177944862156,0.9664798762882219,0.06441231327159143
Full (SBERT+Struct+TFIDF),82,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.73164942913087e-05
-TFIDF (SBERT+Struct),82,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.282658210836275e-06
-SBERT (Struct+TFIDF),82,0,0.9937888198757764,0.9879518072289156,1.0,0.9939393939393939,0.9876467425907244,1.0,1.0,0.004258585912222238
-Struct (SBERT+TFIDF),82,0,0.9627329192546584,0.9418604651162791,0.9878048780487805,0.9642857142857143,0.926518262199712,0.9969126273541217,0.9970987124571491,0.028095763529998145
Full (SBERT+Struct+TFIDF),82,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0001083002552666881
-TFIDF (SBERT+Struct),82,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,3.888443628126652e-05
-SBERT (Struct+TFIDF),82,1,0.9685534591194969,0.9583333333333334,0.971830985915493,0.965034965034965,0.9365416864604409,0.9985595390524968,0.9982633366532652,0.016192123364822727
-Struct (SBERT+TFIDF),82,1,0.9622641509433962,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9241604024241263,0.9860755441741357,0.9878965245825965,0.0353851221927948
Full (SBERT+Struct+TFIDF),82,2,0.99375,1.0,0.9871794871794872,0.9935483870967742,0.9875655717056404,1.0,0.9999999999999998,0.005644917825529361
-TFIDF (SBERT+Struct),82,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.00011695379786769455
-SBERT (Struct+TFIDF),82,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7440806437888e-06
-Struct (SBERT+TFIDF),82,2,0.95625,0.961038961038961,0.9487179487179487,0.9548387096774194,0.9124893166504128,0.993277048155097,0.9928284575755519,0.03183159075487725
Full (SBERT+Struct+TFIDF),82,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.279688268788012e-06
-TFIDF (SBERT+Struct),82,3,0.9937106918238994,1.0,0.987012987012987,0.9934640522875817,0.9874822855514376,0.9998416217928413,0.9998334998334999,0.003794491890270381
-SBERT (Struct+TFIDF),82,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.089414071639073e-05
-Struct (SBERT+TFIDF),82,3,0.9559748427672956,0.9861111111111112,0.922077922077922,0.9530201342281879,0.9135069792147508,0.9954070319923979,0.9947490732584996,0.034913668278013385
Full (SBERT+Struct+TFIDF),82,4,0.9814814814814815,0.9666666666666667,1.0,0.9830508474576272,0.9633275663033837,0.9986206896551724,0.9988240813130894,0.018292794120571887
-TFIDF (SBERT+Struct),82,4,0.9814814814814815,0.9666666666666667,1.0,0.9830508474576272,0.9633275663033837,0.9986206896551724,0.9988375619816922,0.01940350358157859
-SBERT (Struct+TFIDF),82,4,0.9629629629629629,0.9354838709677419,1.0,0.9666666666666667,0.9277096319917794,1.0,1.0,0.03331805203524701
-Struct (SBERT+TFIDF),82,4,0.9382716049382716,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.8758620689655172,0.9740996168582375,0.9792856712539107,0.05688862870571771
