accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,source_domain,model,n_test
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.00021568065690932996,docs.python.org,LR-SBERT+Structural,165
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.00021465207359388098,docs.python.org,LR-All,165
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,2.6960284201387822e-05,docs.python.org,FusionNN,165
0.7407407407407407,0.7209302325581395,0.775,0.7469879518072289,0.4832017888145864,0.8016768292682928,0.7474655670985106,0.2181519714752468,en.wikipedia.org,LR-TFIDF,162
0.9135802469135802,0.8666666666666667,0.975,0.9176470588235294,0.8337580218650914,0.980640243902439,0.9797301155153724,0.06734888192967738,en.wikipedia.org,LR-SBERT,162
0.9938271604938271,1.0,0.9875,0.9937106918238994,0.9877258777811555,0.9996951219512195,0.9996951219512195,0.008767487663415228,en.wikipedia.org,LR-Structural,162
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004012626807320454,en.wikipedia.org,LR-SBERT+Structural,162
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0040377599806316455,en.wikipedia.org,LR-All,162
0.9938271604938271,0.9876543209876543,1.0,0.9937888198757764,0.9877295966495896,0.9996951219512195,0.9996894290123456,0.008254614232952337,en.wikipedia.org,FusionNN,162
0.75,1.0,0.5,0.6666666666666666,0.5773502691896258,0.5,0.75,0.22083735268004187,geeksforgeeks.org,LR-TFIDF,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.662600473673221e-08,geeksforgeeks.org,LR-SBERT,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0446376138560077e-05,geeksforgeeks.org,LR-Structural,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7152294169155877e-07,geeksforgeeks.org,LR-SBERT+Structural,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7267039480447518e-07,geeksforgeeks.org,LR-All,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4935660043077957e-06,geeksforgeeks.org,FusionNN,4
0.9705882352941176,1.0,0.9444444444444444,0.9714285714285714,0.9428090415820634,1.0,1.0,0.1507092309064577,gutenberg.org,LR-TFIDF,34
0.7941176470588235,1.0,0.6111111111111112,0.7586206896551724,0.6520128625624344,0.9444444444444444,0.95749791144528,0.16580732950281107,gutenberg.org,LR-SBERT,34
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.152558617182069e-06,gutenberg.org,LR-Structural,34
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010622134467793296,gutenberg.org,LR-SBERT+Structural,34
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010744832491691454,gutenberg.org,LR-All,34
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013418797824250276,gutenberg.org,FusionNN,34
0.75,1.0,0.6666666666666666,0.8,0.5773502691896258,1.0,1.0,0.15326069238558018,info.arxiv.org,LR-TFIDF,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005832926016539503,info.arxiv.org,LR-SBERT,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.23820977528793e-05,info.arxiv.org,LR-Structural,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1299376711306975e-06,info.arxiv.org,LR-SBERT+Structural,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.078163729974125e-06,info.arxiv.org,LR-All,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.501728919331554e-06,info.arxiv.org,FusionNN,4
