model,row_id,fold,seed,group_id,y_true,oof_probability
FusionNN,SPAM-0199,1,42,67,1,0.9931434392929077
FusionNN,HAM-0314,3,42,68,0,0.0031848365906625986
FusionNN,HAM-0265,4,42,70,0,0.0017582662403583527
FusionNN,SPAM-0228,2,42,71,1,0.9968536496162415
FusionNN,HAM-0160,5,42,72,0,0.0020551299676299095
FusionNN,SPAM-0446,1,42,73,1,0.9945991039276123
FusionNN,HAM-0464,3,42,74,0,0.0033444464206695557
FusionNN,HAM-0299,2,42,76,0,0.005643398966640234
FusionNN,SPAM-0382,4,42,77,1,0.9972429275512695
FusionNN,SPAM-0372,5,42,78,1,0.9988570213317871
FusionNN,SPAM-0499,1,42,79,1,0.9943386912345886
FusionNN,HAM-0378,2,42,81,0,0.008062940090894699
FusionNN,SPAM-0295,3,42,82,1,0.9977766871452332
FusionNN,SPAM-0326,4,42,83,1,0.9970019459724426
FusionNN,SPAM-0133,5,42,84,1,0.9989005327224731
FusionNN,HAM-0034,2,42,86,0,0.005798110272735357
FusionNN,SPAM-0349,1,42,87,1,0.994377076625824
FusionNN,HAM-0059,4,42,88,0,0.0016566275153309107
FusionNN,SPAM-0428,3,42,90,1,0.9976997971534729
FusionNN,HAM-0245,5,42,91,0,0.0024158358573913574
FusionNN,SPAM-0094,4,42,92,1,0.996644139289856
FusionNN,SPAM-0353,1,42,93,1,0.994770348072052
FusionNN,HAM-0404,3,42,95,0,0.0030141398310661316
FusionNN,SPAM-0127,5,42,96,1,0.9987043142318726
FusionNN,SPAM-0479,2,42,97,1,0.997054934501648
FusionNN,HAM-0233,2,42,98,0,0.007271346636116505
FusionNN,SPAM-0190,1,42,99,1,0.987567663192749
FusionNN,HAM-0132,3,42,101,0,0.003484704066067934
FusionNN,SPAM-0359,4,42,102,1,0.9966434240341187
FusionNN,HAM-0001,5,42,103,0,0.0017175007378682494
FusionNN,SPAM-0108,1,42,104,1,0.9954798221588135
FusionNN,SPAM-0362,3,42,106,1,0.997601330280304
FusionNN,SPAM-0150,2,42,107,1,0.9925268888473511
FusionNN,HAM-0176,4,42,108,0,0.0016239061951637268
FusionNN,SPAM-0391,5,42,109,1,0.9989907145500183
FusionNN,SPAM-0143,2,42,110,1,0.9975905418395996
FusionNN,HAM-0388,4,42,112,0,0.0015105868224054575
FusionNN,HAM-0056,1,42,113,0,0.000959250028245151
FusionNN,HAM-0334,3,42,115,0,0.0031436888966709375
FusionNN,SPAM-0258,5,42,116,1,0.9985228180885315
FusionNN,SPAM-0442,1,42,117,1,0.9952925443649292
FusionNN,SPAM-0095,3,42,118,1,0.9974265694618225
FusionNN,HAM-0397,2,42,119,0,0.010068034753203392
FusionNN,SPAM-0386,4,42,120,1,0.9977729916572571
FusionNN,SPAM-0107,5,42,122,1,0.9987969398498535
FusionNN,HAM-0324,2,42,123,0,0.005718734115362167
FusionNN,SPAM-0466,1,42,125,1,0.9949583411216736
FusionNN,SPAM-0287,3,42,126,1,0.9979825019836426
FusionNN,SPAM-0204,4,42,127,1,0.9945677518844604
FusionNN,SPAM-0412,5,42,128,1,0.9987623691558838
FusionNN,SPAM-0024,4,42,130,1,0.9976089000701904
FusionNN,SPAM-0277,1,42,131,1,0.9942560791969299
FusionNN,SPAM-0123,2,42,132,1,0.9976981282234192
FusionNN,SPAM-0416,5,42,133,1,0.9985167384147644
FusionNN,HAM-0186,3,42,135,0,0.003708015428856015
FusionNN,HAM-0473,3,42,136,0,0.0030124003533273935
FusionNN,HAM-0366,1,42,137,0,0.0008440401288680732
FusionNN,HAM-0082,2,42,138,0,0.005595239344984293
FusionNN,HAM-0455,4,42,139,0,0.001676909509114921
FusionNN,HAM-0459,5,42,140,0,0.0027573772240430117
FusionNN,SPAM-0470,3,42,142,1,0.9978367686271667
FusionNN,HAM-0451,1,42,143,0,0.0008525581215508282
FusionNN,HAM-0134,2,42,145,0,0.007317036855965853
FusionNN,HAM-0323,4,42,146,0,0.0016346765914931893
FusionNN,HAM-0364,5,42,147,0,0.0016580176306888461
FusionNN,SPAM-0220,1,42,148,1,0.994873583316803
FusionNN,SPAM-0263,2,42,149,1,0.9968446493148804
FusionNN,HAM-0090,3,42,150,0,0.002764918841421604
FusionNN,SPAM-0294,4,42,152,1,0.9972808361053467
FusionNN,SPAM-0409,5,42,153,1,0.9988883137702942
FusionNN,SPAM-0227,1,42,154,1,0.9954113364219666
FusionNN,HAM-0027,2,42,156,0,0.0061716907657682896
FusionNN,HAM-0396,3,42,157,0,0.004934144206345081
FusionNN,HAM-0241,4,42,158,0,0.001532375579699874
FusionNN,SPAM-0333,5,42,159,1,0.9988621473312378
FusionNN,HAM-0437,1,42,161,0,0.0007119019865058362
FusionNN,HAM-0151,2,42,162,0,0.0055562155321240425
FusionNN,HAM-0499,3,42,163,0,0.0028064020443707705
FusionNN,SPAM-0067,4,42,165,1,0.9977514147758484
FusionNN,HAM-0494,5,42,166,0,0.0023784167133271694
FusionNN,HAM-0363,4,42,167,0,0.0017658753786236048
FusionNN,SPAM-0206,1,42,168,1,0.9928830862045288
FusionNN,HAM-0143,2,42,170,0,0.0062024411745369434
FusionNN,HAM-0133,3,42,171,0,0.0028097082395106554
FusionNN,SPAM-0188,5,42,172,1,0.9987278580665588
FusionNN,SPAM-0240,3,42,173,1,0.9978004097938538
FusionNN,HAM-0026,4,42,175,0,0.0017722607590258121
FusionNN,HAM-0500,1,42,176,0,0.0008779034833423793
FusionNN,HAM-0441,5,42,177,0,0.0023824209347367287
FusionNN,HAM-0111,2,42,178,0,0.007274600211530924
FusionNN,HAM-0085,5,42,179,0,0.0023373165167868137
FusionNN,HAM-0395,1,42,181,0,0.0008498908136971295
FusionNN,SPAM-0027,2,42,182,1,0.9978420734405518
FusionNN,HAM-0188,3,42,183,0,0.0026150343474000692
FusionNN,SPAM-0494,4,42,184,1,0.9973318576812744
FusionNN,SPAM-0282,1,42,186,1,0.9947671890258789
FusionNN,HAM-0166,2,42,187,0,0.006502082571387291
FusionNN,SPAM-0342,5,42,188,1,0.9989256262779236
FusionNN,SPAM-0251,3,42,189,1,0.9976822137832642
FusionNN,SPAM-0187,4,42,191,1,0.9971442818641663
FusionNN,SPAM-0260,3,42,192,1,0.9973957538604736
FusionNN,SPAM-0114,4,42,193,1,0.9976099729537964
FusionNN,HAM-0452,1,42,194,0,0.0012565708020702004
FusionNN,SPAM-0373,2,42,196,1,0.9977149963378906
FusionNN,SPAM-0460,5,42,197,1,0.9986847043037415
FusionNN,SPAM-0129,2,42,198,1,0.9957194924354553
FusionNN,HAM-0093,3,42,199,0,0.0031905805226415396
FusionNN,HAM-0266,1,42,201,0,0.0009207490365952253
FusionNN,HAM-0108,4,42,202,0,0.0014833390014246106
FusionNN,SPAM-0429,5,42,203,1,0.9986760020256042
FusionNN,SPAM-0002,1,42,204,1,0.9954695701599121
FusionNN,HAM-0372,4,42,206,0,0.0015058201970532537
FusionNN,SPAM-0226,2,42,207,1,0.8747389912605286
FusionNN,HAM-0123,3,42,208,0,0.0026711367536336184
FusionNN,SPAM-0231,5,42,209,1,0.9988238215446472
FusionNN,HAM-0019,3,42,211,0,0.0035565642174333334
FusionNN,HAM-0097,1,42,212,0,0.000828045594971627
FusionNN,SPAM-0299,2,42,213,1,0.9971501231193542
FusionNN,HAM-0422,4,42,214,0,0.0018414855003356934
FusionNN,HAM-0288,5,42,216,0,0.0028153210878372192
FusionNN,SPAM-0318,1,42,217,1,0.9940057992935181
FusionNN,HAM-0065,5,42,218,0,0.001864490332081914
FusionNN,HAM-0078,2,42,220,0,0.006364761386066675
FusionNN,SPAM-0005,3,42,221,1,0.9970155954360962
FusionNN,HAM-0036,4,42,222,0,0.00206253444775939
FusionNN,HAM-0128,2,42,223,0,0.0077187963761389256
FusionNN,HAM-0105,1,42,225,0,0.0008627672214061022
FusionNN,SPAM-0252,3,42,226,1,0.998075008392334
FusionNN,HAM-0345,4,42,227,0,0.0038404602091759443
FusionNN,HAM-0218,5,42,228,0,0.001962610287591815
FusionNN,SPAM-0325,5,42,229,1,0.9987102746963501
FusionNN,HAM-0381,1,42,231,0,0.0007364622433669865
FusionNN,SPAM-0486,2,42,232,1,0.990341305732727
FusionNN,SPAM-0488,3,42,233,1,0.9978629946708679
FusionNN,HAM-0113,4,42,235,0,0.0017854346660897136
FusionNN,SPAM-0426,1,42,236,1,0.9944883584976196
FusionNN,HAM-0320,3,42,237,0,0.002741910284385085
FusionNN,SPAM-0467,2,42,238,1,0.9972087740898132
FusionNN,HAM-0313,4,42,240,0,0.002399957273155451
FusionNN,SPAM-0327,5,42,241,1,0.9881347417831421
FusionNN,SPAM-0065,5,42,242,1,0.9988539218902588
FusionNN,HAM-0375,1,42,243,0,0.0008872920298017561
FusionNN,HAM-0356,2,42,244,0,0.006433163303881884
FusionNN,HAM-0367,3,42,245,0,0.0030665190424770117
FusionNN,SPAM-0433,4,42,247,1,0.9972612857818604
FusionNN,HAM-0145,1,42,248,0,0.0009692047024145722
FusionNN,SPAM-0431,2,42,249,1,0.996733546257019
FusionNN,SPAM-0243,5,42,251,1,0.997848391532898
FusionNN,HAM-0448,3,42,252,0,0.003234387142583728
FusionNN,HAM-0202,4,42,253,0,0.0015293755568563938
FusionNN,SPAM-0103,4,42,254,1,0.9975892305374146
FusionNN,SPAM-0335,1,42,256,1,0.9955269694328308
FusionNN,HAM-0373,2,42,257,0,0.005546864587813616
FusionNN,SPAM-0031,3,42,258,1,0.9974223375320435
FusionNN,HAM-0312,5,42,260,0,0.0018377318046987057
FusionNN,SPAM-0301,1,42,261,1,0.9957861304283142
FusionNN,SPAM-0200,2,42,262,1,0.9413208365440369
FusionNN,HAM-0091,3,42,263,0,0.0025959096383303404
FusionNN,SPAM-0069,4,42,265,1,0.9975144863128662
FusionNN,SPAM-0420,5,42,266,1,0.9988290667533875
FusionNN,HAM-0165,1,42,267,0,0.0020195895340293646
FusionNN,SPAM-0104,3,42,268,1,0.9973861575126648
FusionNN,SPAM-0361,2,42,269,1,0.9961814880371094
FusionNN,HAM-0172,5,42,271,0,0.002425216604024172
FusionNN,HAM-0226,4,42,272,0,0.0021906765177845955
FusionNN,SPAM-0253,1,42,273,1,0.9944450259208679
FusionNN,HAM-0171,2,42,275,0,0.006156518589705229
FusionNN,HAM-0203,4,42,276,0,0.0020579032134264708
FusionNN,HAM-0497,3,42,277,0,0.004885505884885788
FusionNN,HAM-0156,5,42,278,0,0.0017107136081904173
FusionNN,SPAM-0298,5,42,279,1,0.9987391829490662
FusionNN,HAM-0340,1,42,280,0,0.001329599297605455
FusionNN,SPAM-0216,2,42,282,1,0.9965181350708008
FusionNN,SPAM-0177,3,42,283,1,0.9977351427078247
FusionNN,HAM-0129,4,42,285,0,0.0041753086261451244
FusionNN,HAM-0449,2,42,286,0,0.007292286958545446
FusionNN,HAM-0400,3,42,287,0,0.0029841011855751276
FusionNN,SPAM-0025,5,42,288,1,0.9985382556915283
FusionNN,HAM-0399,5,42,289,0,0.0016391215613111854
FusionNN,HAM-0142,1,42,291,0,0.0011425159173086286
FusionNN,SPAM-0205,4,42,292,1,0.9978773593902588
FusionNN,HAM-0086,1,42,293,0,0.005136323161423206
FusionNN,SPAM-0085,2,42,295,1,0.9963709115982056
FusionNN,SPAM-0496,3,42,296,1,0.997848391532898
FusionNN,HAM-0456,4,42,297,0,0.0016750073991715908
FusionNN,SPAM-0014,4,42,298,1,0.9274084568023682
FusionNN,HAM-0348,1,42,299,0,0.0015077486168593168
FusionNN,HAM-0304,2,42,301,0,0.0061658150516450405
FusionNN,HAM-0482,3,42,302,0,0.0033439856488257647
FusionNN,HAM-0087,5,42,303,0,0.0016890020342543721
FusionNN,HAM-0267,1,42,304,0,0.002325725741684437
FusionNN,SPAM-0314,2,42,306,1,0.9976065158843994
FusionNN,HAM-0287,5,42,307,0,0.003571111708879471
FusionNN,SPAM-0464,3,42,308,1,0.9977741837501526
FusionNN,HAM-0199,4,42,309,0,0.0017240274464711547
FusionNN,SPAM-0046,1,42,311,1,0.9925819635391235
FusionNN,HAM-0493,2,42,312,0,0.00672876788303256
FusionNN,SPAM-0341,3,42,313,1,0.9975278973579407
FusionNN,SPAM-0356,4,42,314,1,0.9979578256607056
FusionNN,SPAM-0305,5,42,316,1,0.9987488985061646
FusionNN,HAM-0444,5,42,317,0,0.0019730727653950453
FusionNN,HAM-0362,1,42,318,0,0.0007759812870062888
FusionNN,SPAM-0156,2,42,320,1,0.995370090007782
FusionNN,HAM-0014,3,42,321,0,0.0030770765151828527
FusionNN,HAM-0447,4,42,322,0,0.0015409301267936826
FusionNN,SPAM-0445,1,42,323,1,0.9954132437705994
FusionNN,SPAM-0451,4,42,324,1,0.9964538812637329
FusionNN,SPAM-0495,2,42,326,1,0.9975236058235168
FusionNN,HAM-0230,5,42,327,0,0.0018214371521025896
FusionNN,SPAM-0054,3,42,328,1,0.9973390698432922
FusionNN,HAM-0045,1,42,330,0,0.0009380878182128072
FusionNN,HAM-0068,2,42,331,0,0.005751961376518011
FusionNN,SPAM-0089,3,42,332,1,0.9976008534431458
FusionNN,HAM-0467,4,42,333,0,0.0027729349676519632
FusionNN,HAM-0228,5,42,335,0,0.0017478164518252015
FusionNN,HAM-0158,1,42,336,0,0.0010359293082728982
FusionNN,HAM-0003,2,42,337,0,0.006741514895111322
FusionNN,SPAM-0394,4,42,338,1,0.9976469874382019
FusionNN,SPAM-0209,5,42,340,1,0.9988106489181519
FusionNN,HAM-0163,3,42,341,0,0.003523813793435693
FusionNN,HAM-0394,3,42,342,0,0.004666063468903303
FusionNN,SPAM-0322,1,42,343,1,0.9950172305107117
FusionNN,HAM-0421,2,42,345,0,0.00802124198526144
FusionNN,HAM-0079,4,42,346,0,0.001683596521615982
FusionNN,SPAM-0436,5,42,347,1,0.9986175298690796
FusionNN,HAM-0433,1,42,348,0,0.002974970266222954
FusionNN,HAM-0127,2,42,350,0,0.0075167822651565075
FusionNN,HAM-0152,4,42,351,0,0.0033636027947068214
FusionNN,SPAM-0007,3,42,352,1,0.9971944093704224
FusionNN,SPAM-0459,5,42,353,1,0.9984328150749207
FusionNN,SPAM-0096,3,42,355,1,0.9972907900810242
FusionNN,HAM-0300,1,42,356,0,0.0009257195051759481
FusionNN,HAM-0349,2,42,357,0,0.006375446449965239
FusionNN,HAM-0096,5,42,358,0,0.002057259902358055
FusionNN,HAM-0222,4,42,359,0,0.0018587843514978886
FusionNN,HAM-0284,4,42,361,0,0.001656245905905962
FusionNN,SPAM-0192,1,42,362,1,0.9958478212356567
FusionNN,HAM-0117,2,42,363,0,0.005959192756563425
FusionNN,SPAM-0270,3,42,365,1,0.9972524046897888
FusionNN,HAM-0140,5,42,366,0,0.0028073363937437534
FusionNN,SPAM-0482,2,42,367,1,0.997785210609436
FusionNN,SPAM-0077,1,42,368,1,0.994662880897522
FusionNN,HAM-0401,3,42,370,0,0.002765070181339979
FusionNN,SPAM-0490,4,42,371,1,0.8945905566215515
FusionNN,SPAM-0302,5,42,372,1,0.998451828956604
FusionNN,SPAM-0139,3,42,373,1,0.9973088502883911
FusionNN,HAM-0175,1,42,374,0,0.0008680400787852705
FusionNN,HAM-0119,2,42,376,0,0.005782727152109146
FusionNN,SPAM-0035,4,42,377,1,0.9978578686714172
FusionNN,HAM-0051,5,42,378,0,0.0017516460502520204
FusionNN,HAM-0028,1,42,379,0,0.0007526001427322626
FusionNN,HAM-0178,5,42,380,0,0.001708446303382516
FusionNN,HAM-0257,2,42,382,0,0.006827578414231539
FusionNN,HAM-0462,3,42,383,0,0.00343770207837224
FusionNN,SPAM-0264,4,42,384,1,0.9966086149215698
FusionNN,HAM-0072,1,42,386,0,0.001214139978401363
FusionNN,HAM-0379,2,42,387,0,0.007737782318145037
FusionNN,SPAM-0256,4,42,388,1,0.997060239315033
FusionNN,SPAM-0102,3,42,390,1,0.9980816841125488
FusionNN,HAM-0277,5,42,391,0,0.0021288522984832525
FusionNN,HAM-0347,1,42,392,0,0.0014346643583849072
FusionNN,HAM-0200,2,42,393,0,0.00884567853063345
FusionNN,SPAM-0030,4,42,395,1,0.9966434240341187
FusionNN,SPAM-0463,5,42,396,1,0.998430073261261
FusionNN,HAM-0454,3,42,398,0,0.0028982246294617653
FusionNN,HAM-0040,1,42,399,0,0.0009795742807909846
FusionNN,HAM-0365,2,42,401,0,0.007360436953604221
FusionNN,SPAM-0116,3,42,402,1,0.9978158473968506
FusionNN,HAM-0074,4,42,403,0,0.0018994957208633423
FusionNN,HAM-0301,5,42,404,0,0.0020542421843856573
FusionNN,HAM-0486,1,42,406,0,0.0008596928091719747
FusionNN,SPAM-0414,2,42,407,1,0.9964737296104431
FusionNN,SPAM-0056,4,42,408,1,0.9966487288475037
FusionNN,HAM-0445,3,42,409,0,0.002975189359858632
FusionNN,HAM-0289,5,42,411,0,0.0025348616763949394
FusionNN,SPAM-0441,5,42,412,1,0.9988044500350952
FusionNN,SPAM-0182,1,42,413,1,0.9953885078430176
FusionNN,SPAM-0250,2,42,414,1,0.997218132019043
FusionNN,SPAM-0185,3,42,416,1,0.9980027079582214
FusionNN,SPAM-0208,4,42,417,1,0.9955124258995056
FusionNN,HAM-0439,3,42,418,0,0.0029045247938483953
FusionNN,HAM-0291,4,42,419,0,0.002157891169190407
FusionNN,SPAM-0175,1,42,420,1,0.99489426612854
FusionNN,HAM-0109,2,42,421,0,0.005743968766182661
FusionNN,HAM-0022,5,42,423,0,0.0034398427233099937
FusionNN,HAM-0271,1,42,424,0,0.0009082304895855486
FusionNN,SPAM-0160,3,42,426,1,0.9970605969429016
FusionNN,HAM-0170,2,42,427,0,0.006152901332825422
FusionNN,HAM-0402,4,42,428,0,0.0015756419161334634
FusionNN,HAM-0331,5,42,429,0,0.002075742930173874
FusionNN,SPAM-0344,1,42,430,1,0.9957125186920166
FusionNN,HAM-0043,4,42,432,0,0.001401291461661458
FusionNN,HAM-0088,2,42,433,0,0.005535138305276632
FusionNN,HAM-0360,3,42,434,0,0.0027799480594694614
FusionNN,SPAM-0365,5,42,436,1,0.998330295085907
FusionNN,HAM-0029,1,42,437,0,0.0012865656754001975
FusionNN,HAM-0244,4,42,438,0,0.0016127272974699736
FusionNN,HAM-0495,2,42,439,0,0.0051088943146169186
FusionNN,SPAM-0075,3,42,441,1,0.9972934126853943
FusionNN,SPAM-0202,5,42,442,1,0.998817503452301
FusionNN,HAM-0048,1,42,443,0,0.001472120056860149
FusionNN,SPAM-0180,2,42,444,1,0.9866662621498108
FusionNN,HAM-0333,5,42,446,0,0.0033445849549025297
FusionNN,HAM-0440,3,42,447,0,0.0032616464886814356
FusionNN,HAM-0335,4,42,448,0,0.0017433788161724806
FusionNN,HAM-0042,1,42,449,0,0.000799014640506357
FusionNN,SPAM-0091,1,42,451,1,0.9943458437919617
FusionNN,HAM-0351,2,42,452,0,0.006361803505569696
FusionNN,SPAM-0254,3,42,453,1,0.9977754950523376
FusionNN,SPAM-0171,4,42,454,1,0.9975141286849976
FusionNN,SPAM-0472,5,42,456,1,0.9988376498222351
FusionNN,SPAM-0068,2,42,457,1,0.9965906143188477
FusionNN,SPAM-0122,4,42,458,1,0.9950243830680847
FusionNN,SPAM-0393,5,42,459,1,0.9985032081604004
FusionNN,SPAM-0009,1,42,460,1,0.9932528138160706
FusionNN,SPAM-0086,3,42,461,1,0.9979870319366455
FusionNN,HAM-0408,1,42,463,0,0.0011019832454621792
FusionNN,SPAM-0196,2,42,464,1,0.9935594797134399
FusionNN,HAM-0182,3,42,465,0,0.0031248056329786777
FusionNN,HAM-0130,4,42,467,0,0.0017643194878473878
FusionNN,HAM-0270,5,42,468,0,0.0022003299091011286
FusionNN,HAM-0318,1,42,469,0,0.0013037559110671282
FusionNN,HAM-0099,2,42,470,0,0.005833369679749012
FusionNN,HAM-0124,3,42,471,0,0.0026340470649302006
FusionNN,HAM-0269,5,42,473,0,0.002899788785725832
FusionNN,SPAM-0020,4,42,474,1,0.9972319006919861
FusionNN,HAM-0471,1,42,475,0,0.0008161577861756086
FusionNN,SPAM-0398,2,42,477,1,0.9977430105209351
FusionNN,SPAM-0283,3,42,478,1,0.9979664087295532
FusionNN,HAM-0413,4,42,479,0,0.001610158826224506
FusionNN,HAM-0221,5,42,480,0,0.001993310172110796
FusionNN,SPAM-0480,2,42,482,1,0.9958492517471313
FusionNN,SPAM-0413,1,42,483,1,0.995933473110199
FusionNN,HAM-0258,4,42,484,0,0.0014110887423157692
FusionNN,SPAM-0497,3,42,485,1,0.9976632595062256
FusionNN,SPAM-0138,5,42,486,1,0.997776210308075
FusionNN,SPAM-0363,1,42,488,1,0.9940040707588196
FusionNN,HAM-0370,2,42,489,0,0.006216889712959528
FusionNN,HAM-0272,3,42,490,0,0.003115488449111581
FusionNN,SPAM-0019,4,42,492,1,0.9976922273635864
FusionNN,SPAM-0247,5,42,493,1,0.9986925721168518
FusionNN,SPAM-0173,3,42,494,1,0.9965319633483887
FusionNN,HAM-0273,2,42,495,0,0.005379773676395416
FusionNN,HAM-0009,4,42,497,0,0.0019620256498456
FusionNN,HAM-0250,5,42,498,0,0.0028548529371619225
FusionNN,SPAM-0268,3,42,499,1,0.9979645013809204
FusionNN,HAM-0248,1,42,500,0,0.0019036568701267242
FusionNN,SPAM-0437,1,42,502,1,0.9943405389785767
FusionNN,HAM-0479,2,42,503,0,0.006536979228258133
FusionNN,HAM-0342,4,42,504,0,0.020949212834239006
FusionNN,SPAM-0281,5,42,505,1,0.9985557198524475
FusionNN,HAM-0031,2,42,507,0,0.0067115481942892075
FusionNN,HAM-0192,1,42,508,0,0.0008508327882736921
FusionNN,HAM-0234,4,42,509,0,0.0016340945148840547
FusionNN,HAM-0259,3,42,510,0,0.018221018835902214
FusionNN,SPAM-0376,5,42,512,1,0.9988566637039185
FusionNN,HAM-0155,1,42,513,0,0.8032159209251404
FusionNN,HAM-0070,5,42,514,0,0.001803919323720038
FusionNN,HAM-0237,2,42,515,0,0.00632316991686821
FusionNN,SPAM-0417,3,42,516,1,0.9979150891304016
FusionNN,SPAM-0462,4,42,518,1,0.9971001744270325
FusionNN,SPAM-0158,1,42,519,1,0.9889361262321472
FusionNN,HAM-0077,2,42,520,0,0.005877841264009476
FusionNN,SPAM-0161,3,42,521,1,0.9979732632637024
FusionNN,SPAM-0115,4,42,523,1,0.9978646636009216
FusionNN,SPAM-0032,5,42,524,1,0.9983684420585632
FusionNN,SPAM-0149,1,42,525,1,0.99437016248703
FusionNN,HAM-0174,5,42,526,0,0.6517550349235535
FusionNN,HAM-0173,2,42,528,0,0.005699807312339544
FusionNN,SPAM-0176,3,42,529,1,0.9975377321243286
FusionNN,SPAM-0003,4,42,530,1,0.9902387857437134
FusionNN,SPAM-0352,3,42,532,1,0.9977541565895081
FusionNN,SPAM-0347,1,42,533,1,0.9955087900161743
FusionNN,SPAM-0012,2,42,534,1,0.9978280663490295
FusionNN,HAM-0252,4,42,535,0,0.0020832603331655264
FusionNN,SPAM-0419,5,42,537,1,0.9988522529602051
FusionNN,SPAM-0317,3,42,538,1,0.9977468848228455
FusionNN,HAM-0201,1,42,539,0,0.0008531505009159446
FusionNN,SPAM-0284,2,42,540,1,0.9976366758346558
FusionNN,SPAM-0291,4,42,541,1,0.9976296424865723
FusionNN,SPAM-0388,5,42,542,1,0.9988208413124084
FusionNN,SPAM-0407,4,42,544,1,0.043060462921857834
FusionNN,SPAM-0461,1,42,545,1,0.9941309094429016
FusionNN,SPAM-0265,2,42,547,1,0.9976033568382263
FusionNN,SPAM-0135,3,42,548,1,0.9978362917900085
FusionNN,HAM-0321,5,42,549,0,0.0016402610344812274
FusionNN,SPAM-0223,3,42,550,1,0.9978564381599426
FusionNN,SPAM-0476,4,42,551,1,0.9970863461494446
FusionNN,HAM-0481,5,42,553,0,0.002148481085896492
FusionNN,HAM-0101,1,42,554,0,0.0008667011861689389
FusionNN,SPAM-0415,2,42,555,1,0.994793713092804
FusionNN,SPAM-0010,1,42,556,1,0.9932152032852173
FusionNN,SPAM-0309,2,42,558,1,0.9964427351951599
FusionNN,SPAM-0311,3,42,559,1,0.9980266690254211
FusionNN,SPAM-0229,4,42,560,1,0.9966645836830139
FusionNN,HAM-0368,5,42,561,0,0.001656722160987556
FusionNN,HAM-0478,2,42,563,0,0.007299324497580528
FusionNN,HAM-0390,3,42,564,0,0.0030078173149377108
FusionNN,HAM-0290,1,42,565,0,0.0008379521896131337
FusionNN,SPAM-0066,4,42,567,1,0.9972549080848694
